,title,year,duration,rating,metascore,genre,votes,gross,directorstars
32,The Sting,1973,129,8.3,83,"Comedy, Crime, Drama            ",230232,159.6,"    Director:George Roy Hill     Stars:Paul Newman, Robert Redford, Robert Shaw, Charles Durning"
33,A Clockwork Orange,1971,136,8.3,80,"Crime, Drama, Sci-Fi            ",722278,0.0,"    Director:Stanley Kubrick     Stars:Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke"
34,Lawrence of Arabia,1962,228,8.3,100,"Adventure, Biography, Drama            ",254151,44.82,"    Director:David Lean     Stars:Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins"
35,The Apartment,1960,125,8.3,94,"Comedy, Drama, Romance            ",153261,18.6,"    Director:Billy Wilder     Stars:Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston"
36,Ikiru,1952,143,8.3,0,Drama            ,62366,0.06,"    Director:Akira Kurosawa     Stars:Takashi Shimura, Nobuo Kaneko, Shin'ichi Himori, Haruo Tanaka"
37,Bicycle Thieves,1948,89,8.3,0,Drama            ,135858,0.33,"    Director:Vittorio De Sica     Stars:Lamberto Maggiorani, Enzo Staiola, Lianella Carell, Elena Altieri"
38,Double Indemnity,1944,107,8.3,95,"Crime, Drama, Film-Noir            ",135073,5.72,"    Director:Billy Wilder     Stars:Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Byron Barr"
39,Citizen Kane,1941,119,8.3,100,"Drama, Mystery            ",379197,1.59,"    Director:Orson Welles     Stars:Orson Welles, Joseph Cotten, Dorothy Comingore, Agnes Moorehead"
40,Metropolis,1927,153,8.3,98,"Drama, Sci-Fi            ",151651,1.24,"    Director:Fritz Lang     Stars:Brigitte Helm, Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge"
41,The Kid,1921,68,8.3,0,"Comedy, Drama, Family            ",104714,5.45,"    Director:Charles Chaplin     Stars:Charles Chaplin, Edna Purviance, Jackie Coogan, Carl Miller"
42,Portrait of a Lady on Fire,2019,122,8.2,95,"Drama, Romance            ",26285,0.0,"    Director:Céline Sciamma     Stars:Noémie Merlant, Adèle Haenel, Luàna Bajrami, Valeria Golino"
43,K.G.F: Chapter 1,2018,156,8.2,0,"Action, Drama            ",28886,0.0,"    Director:Prashanth Neel     Stars:Yash, Srinidhi Shetty, Ramachandra Raju, Archana Jois"
44,Green Book,2018,130,8.2,69,"Biography, Comedy, Drama            ",303959,85.08,"    Director:Peter Farrelly     Stars:Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco"
45,A Silent Voice: The Movie,2016,130,8.2,78,"Animation, Drama, Family            ",34705,0.0,"    Director:Naoko Yamada     Stars:Miyu Irino, Saori Hayami, Aoi Yûki, Kenshô Ono"
46,"Three Billboards Outside Ebbing, Missouri",2017,115,8.2,88,"Comedy, Crime, Drama            ",389025,54.51,"    Director:Martin McDonagh     Stars:Frances McDormand, Woody Harrelson, Sam Rockwell, Caleb Landry Jones"
47,Talvar,2015,132,8.2,0,"Crime, Drama, Mystery            ",27581,0.34,"    Director:Meghna Gulzar     Stars:Irrfan Khan, Konkona Sen Sharma, Neeraj Kabi, Sohum Shah"
48,Baahubali 2: The Conclusion,2017,167,8.2,0,"Action, Drama            ",69772,20.19,"    Director:S.S. Rajamouli     Stars:Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia"
49,Drishyam,2015,163,8.2,0,"Crime, Drama, Mystery            ",60756,0.74,"    Director:Nishikant Kamat     Stars:Ajay Devgn, Shriya Saran, Tabu, Rajat Kapoor"
